ID,Allemand,Français,Difficulté
209,Ich wohne in...,J'habite à...,0
210,Ihnen auch!,Vous aussi !,0
211,ihr,vous (pluriel),0
212,ihr habt,vous avez,0
213,ihr seid,vous êtes (pluriel),0
214,ihr studiert,vous (pluriel) étudiez,0
215,ihr Vater,son père,0
216,ihre Mutter,sa mère,0
217,im Stress,stressé,0
218,in der Nähe von,près de,1
219,Ja,Oui,0
220,Ja,Oui,0
221,Kann ich mit Karte zahlen?,Est-ce que je peux payer par carte ?,0
222,Kein Problem.,Pas de problème.,0
223,klein,petit/petite,0
224,krank,malade,0
225,kurz,petit / petite,0
226,lang,long / longue,0
227,laufen,marcher,0
228,Leider nicht!,J’ai bien peur que non !,0
229,lieber als,plutôt que,0
230,Liebt ihr Katzen?,Adorez-vous les chats ?,0
231,links,gauche,0
232,Machen Sie 20 Euro.,Arrondissez à 20 euros.,1
233,Magst du Kaffee?,Aimes-tu le café ?,0
234,Mein Großvater ist langweilig.,Mon grand-père est ennuyeux.,0
235,Mein Großvater ist lustig.,Mon grand-père est amusant.,0
236,mein Vater,mon père,0
237,Meine Kinder sind freundlich.,Mes enfants sont chaleureux.,0
238,meine Mutter,ma mère,0
239,Meine Tochter ist arrogant.,Ma fille est arrogante.,0
240,Mir geht's gut.,Ça va bien.,0
241,Mir geht’s nicht so gut.,Ça ne va pas très bien.,0
242,Mir geht’s schlecht.,Ça va mal.,0
243,Mir geht’s super!,Ça va super bien !,0
244,Mit Milch und Zucker?,Avec du lait et du sucre ?,0
245,Moin (moin)!,Bonjour ! (Allemagne du nord),0
246,Möchtest du auch...?,Voudrais-tu également... ?,0
247,Möchtest du in ein Café gehen?,Voudrais-tu aller dans un café ?,0
248,müde,fatiguée,0
249,nah,près / proche,0
250,Nein,Non,0
251,"Nein, danke.",Non merci.,0
252,neun,neuf,0
253,neunzig,quatre-vingt-dix,0
254,niedrig,bas / basse,0
255,,zéro,0
256,Oh nein!,Oh non !,0
257,ohne,sans,0
258,pflegen,soigner,0
259,Prost!,Santé !,0
260,rechts,droite,0
261,rechts / links,droite / gauche,0
262,relativ,plutôt,0
263,schmal,étroit,0
264,Schönen Tag!,Bonne journée !,0
265,Schönes Wochenende!,Bon week-end!,0
266,sechs,six,0
267,"sechzehn, siebzehn","seize, dix-sept",0
268,sechzig,soixante,0
269,sehr,très,0
270,sein Bruder,son frère,0
271,seine Schwester,sa sœur,0
272,servieren,servir,0
273,Servus!,Bonjour !/Au revoir ! (Autriche et Allemagne du sud),0
274,sie,ils/elles,0
275,sie haben,ils ont,0
276,sie ist,elle est,0
277,Sie liebt ihn.,Elle l’aime.,0
278,Sie mögen Bier.,Ils aiment la bière.,0
279,sie sind,ils/elles sont,0
280,sie studieren,ils/elles étudient,0
281,sieben,sept,0
282,siebzig,soixante-dix,0
283,Sonst noch etwas?,Autre chose ?,0
284,Sprichst du Englisch?,Tu parles anglais ?,0
285,Stimmt so.,Gardez la monnaie.,0
286,studieren,étudier (à l’université),0
287,suchen,chercher,0
288,teuer,cher,0
289,Tschüss!,Au revoir !,0
290,Tschüss!,Au revoir !,0
291,um,à / vers,0
292,um,à/vers,0
293,um,à / vers,0
294,und,et,0
295,unser Opa,notre grand-père,0
296,unsere Oma,notre grand-mère,0
297,unterrichten,enseigner,0
298,verkaufen,vendre,0
299,vier,quatre,0
300,vierzig,quarante,0
301,vor / hinter,devant / derrière,0
302,Was bist du von Beruf?,Que fais-tu dans la vie ?,0
303,Was darf es sein?,Qu’est-ce que je peux vous servir ?,0
304,Was isst du gern?,Qu’aimes-tu manger ?,0
305,Was isst du?,Que manges-tu ?,0
306,Was ist das?,Qu’est-ce que cela ?,0
307,Was macht das?,Combien est-ce ?,0
308,Was sind Sie von Beruf?,Que faites-vous dans la vie ? (formel),0
309,weit,loin,0
310,weit weg von,loin de,0
311,Weißwurst,saucisse blanche,0
312,Welche Sprachen sprichst du?,Quelles langues parles-tu ?,0
313,wenige,peu,0
314,Wie geht’s?,Comment ça va ?,0
315,Wie heißen Sie?,Comment vous appelez-vous ? (formel),0
316,Wie heißt das auf Deutsch?,Comment est-ce que ça s’appelle en allemand ?,0
317,Wie heißt du?,Comment t’appelles-tu ?,0
318,Wie viel kostet das?,Combien cela coûte-t-il ?,0
319,Wie viel kostet das?,Combien cela coûte-t-il ?,0
320,Wie viel kostet ein Kaffee?,Combien ça coute pour un café ?,0
321,Wie viel kostet eine Apfelschorle?,Combien ça coûte pour une Apfelschorle ?,0
322,wir,nous,0
323,wir haben,nous avons,0
324,Wir lieben Hunde.,Nous adorons les chiens.,0
325,Wir mögen Hunde.,Nous aimons les chiens.,0
326,wir sind,nous sommes,0
327,Wo finde ich ...?,Où puis-je trouver... ?,1
328,Wo ist ... ?,Où se trouve ... ?,0
329,Wo ist …?,Où est... ?,0
330,Wo wohnen Sie?,Où habitez-vous ? (formel),0
331,Wo wohnst du?,Où habites-tu?,0
332,Wo wohnst du?,Où habites-tu?,0
333,Woher kommen Sie?,D’où venez-vous ? (formel),0
334,Woher kommen Sie?,D’où venez-vous ? (formel),0
335,Woher kommst du?,D’où viens-tu ?,0
336,wohnen,vivre / habiter,0
337,"Zahlen, bitte!",L’addition s’il vous plaît !,0
338,"Zahlen, bitte!","Je voudrais payer, s’il vous plaît !",0
339,zehn,dix,0
340,Zum Essen?,Que voulez-vous manger ?,0
341,Zum Trinken?,Que voulez-vous boire ?,0
342,Zum Wohl!,Santé !,0
343,zwanzig,vingt,0
344,zwei,deux,0
345,zwölf,douze,0
346,überqueren,traverser,0
