Pile,Face,Difficulté
Wie heißt du?,Comment t’appelles-tu ?,2
Wie siehst du aus?,À quoi ressembles-tu ?,2
Wie spät ist es?,Quelle heure est-il ?,2
Wie viel kostet das?,Combien cela coûte-t-il ?,2
Wie viel kostet das?,Combien cela coûte-t-il ?,2
Wie viel kostet das?,Combien cela coûte-t-il ?,2
Wie viel kostet ein Kaffee?,Combien ça coute pour un café ?,2
Wie viel kostet eine Apfelschorle?,Combien ça coûte pour une Apfelschorle ?,2
wir,nous,2
wir haben,nous avons,2
Wir lieben Hunde.,Nous adorons les chiens.,2
Wir mögen Hunde.,Nous aimons les chiens.,2
wir sind,nous sommes,2
Wo finde ich ...?,Où puis-je trouver... ?,2
Wo ist ... ?,Où se trouve ... ?,2
Wo ist …?,Où est... ?,2
Wo wohnen Sie?,Où habitez-vous ? (formel),2
Wo wohnst du?,Où habites-tu?,2
Wo wohnst du?,Où habites-tu?,2
Woher kommen Sie?,D’où venez-vous ? (formel),2
Woher kommen Sie?,D’où venez-vous ? (formel),2
Woher kommst du?,D’où viens-tu ?,2
wohnen,vivre / habiter,2
wollen,vouloir,2
"Zahlen, bitte!",L’addition s’il vous plaît !,2
"Zahlen, bitte!","Je voudrais payer, s’il vous plaît !",2
zehn,dix,2
zu,à/pour,2
Zum Essen?,Que voulez-vous manger ?,2
Zum Trinken?,Que voulez-vous boire ?,2
Zum Wohl!,Santé !,2
zur Arbeit gehen,aller travailler,2
zwanzig,vingt,2
"zwanzig, einundzwanzig, zweiundzwanzig,...","vingt, vingt-et-un, vingt-deux...",2
zwei,deux,2
"zweihundert, dreihundert, vierhundert...","deux cents, trois cents, quatre cents...",1
zwölf,douze,2
öffnen,ouvrir,2
überqueren,traverser,2
