#langue_pile="de"
#langue_face="fr"
Pile;Face;Difficulté
Mir geht’s nicht so gut.;Ça ne va pas très bien.;0
Mir geht’s schlecht.;Ça va mal.;1
Mir geht’s super!;Ça va super bien !;1
Mit Milch und Zucker?;Avec du lait et du sucre ?;1
mit Sprudel / ohne Sprudel;gazeuse/plate;1
Moin (moin)!;Bonjour ! (Allemagne du nord);0
Möchtest du auch...?;Voudrais-tu également... ?;0
Möchtest du in ein Café gehen?;Voudrais-tu aller dans un café ?;0
mögen;aimer/souhaiter;1
müde;fatiguée;0
nah;près / proche;0
Nein;Non;1
"Nein; danke.";Non merci.;0
neun;neuf;0
neunzig;quatre-vingt-dix;0
nichts;ne ... rien;0
niedrig;bas / basse;0
;zéro;1
Oh nein!;Oh non !;0
ohne;sans;1
pflegen;soigner;1
Prost!;Santé !;0
rechts;droite;1
rechts / links;droite / gauche;1
relativ;plutôt;0
reservieren;réserver;0
schmal;étroit;1
Schönen Tag!;Bonne journée !;1
Schönes Wochenende!;Bon week-end!;1
sechs;six;1
"sechzehn; siebzehn";"seize; dix-sept";0
sechzig;soixante;0
sehr;très;1
sein Bruder;son frère;0
seine Schwester;sa sœur;1
servieren;servir;0
Servus!;Bonjour !/Au revoir ! (Autriche et Allemagne du sud);1
sie;ils/elles;0
sie haben;ils ont;0
sie ist;elle est;1
Sie liebt ihn.;Elle l’aime.;2
Sie mögen Bier.;Ils aiment la bière.;1
sie sind;ils/elles sont;0
sie studieren;ils/elles étudient;1
sieben;sept;0
siebzig;soixante-dix;1
sitzen;s'asseoir;0
Sonst noch etwas?;Autre chose ?;0
Sprichst du Englisch?;Tu parles anglais ?;1
Stimmt so.;Gardez la monnaie.;0
studieren;étudier (à l’université);1
suchen;chercher;0
teuer;cher;0
trinken;boire;0
Tschüss!;Au revoir !;0
um;à / vers;1
und;et;0
unser Opa;notre grand-père;0
unsere Oma;notre grand-mère;1
unterrichten;enseigner;0
verkaufen;vendre;0
viel;beaucoup;0
vier;quatre;0
vierzig;quarante;1
vor / hinter;devant / derrière;0
Was bist du von Beruf?;Que fais-tu dans la vie ?;0
Was darf es sein?;Qu’est-ce que je peux vous servir ?;0
Was isst du gerne?;Qu’aimes-tu manger ?;0
Was isst du?;Que manges-tu ?;0
Was ist das?;Qu’est-ce que cela ?;0
Was macht das?;Combien est-ce ?;0
Was sind Sie von Beruf?;Que faites-vous dans la vie ? (formel);0
weit;loin;1
weit weg von;loin de;1
Weißwurst;saucisse blanche;0
Welche Sprachen sprichst du?;Quelles langues parles-tu ?;1
wenig;un peu;0
wenige;peu;1
Wie geht’s?;Comment ça va ?;0
Wie heißen Sie?;Comment vous appelez-vous ? (formel);0
Wie heißt das auf Deutsch?;Comment est-ce que ça s’appelle en allemand ?;1
Wie heißt du?;Comment t’appelles-tu ?;1
Wie viel kostet das?;Combien cela coûte-t-il ?;1
Wie viel kostet ein Kaffee?;Combien ça coute pour un café ?;0
Wie viel kostet eine Apfelschorle?;Combien ça coûte pour une Apfelschorle ?;1
wir;nous;0
wir haben;nous avons;0
Wir lieben Hunde.;Nous adorons les chiens.;0
Wir mögen Hunde.;Nous aimons les chiens.;1
wir sind;nous sommes;0
Wo finde ich ...?;Où puis-je trouver... ?;0
Wo ist ... ?;Où se trouve ... ?;0
Wo ist …?;Où est... ?;0
Wo wohnen Sie?;Où habitez-vous ? (formel);1
Wo wohnst du?;Où habites-tu?;0
Woher kommen Sie?;D’où venez-vous ? (formel);1
Woher kommst du?;D’où viens-tu ?;0
wohnen;vivre / habiter;0
wollen;vouloir;0
Zahlen, bitte!;L’addition s’il vous plaît !;0
zehn;dix;1
Zum Essen?;Que voulez-vous manger ?;1
Zum Trinken?;Que voulez-vous boire ?;0
Zum Wohl!;Santé !;1
zwanzig;vingt;0
zwei;deux;0
zwölf;douze;1
öffnen;ouvrir;1
überqueren;traverser;1
abendessen;dîner;1
"achtzig; neunzig; einhundert";"quatre-vingt; quatre-vingt-dix; cent";1
aufstehen;se lever;1
bei;à;1
blaue Augen;yeux bleus;0
blond;blond / blonde;0
braune Augen;les yeux marrons;1
das Klavier;le piano;0
das Saxofon;le saxophone;1
das Schlagzeug;la batterie;1
das Wochenende;le week-end;1
der Tag;le jour;1
die Flöte;la flûte;1
die Freizeit;le temps libre;0
die Geige;le violon;0
die Gitarre;la guitare;1
die Trompete;la trompette;0
die Woche;la semaine;0
"dreißig; vierzig; fünfzig";"trente; quarante; cinquante";0
duschen;prendre une douche;1
dürfen;avoir le droit;0
ein Instrument spielen;jouer d'un instrument;1
einkaufen;faire les courses;0
"elf; zwölf";"onze; douze";0
entspannen;se détendre;1
Es ist ... Uhr.;Il est .... heures.;1
Fahrrad fahren;faire du vélo;0
fernsehen;regarder la télévision;1
"Freitag; Samstag; Sonntag";"vendredi; samedi; dimanche";0
Freunde treffen;retrouver des amis;0
frühstücken;prendre son petit-déjeuner;1
Fußball spielen;jouer au football;0
gegenüber;en face de;0
halb;et demi;0
ins Bett gehen;se coucher;0
ins Fitnessstudio gehen;aller à la salle de sport;1
kurze Haare;cheveux courts;0
können;être capable de;0
lange Haare;les cheveux longs;1
mit;avec;1
Mittwoch, Donnerstag;mercredi, jeudi;1
"Montag; Dienstag";"lundi; mardi";1
müssen;"devoir; avoir besoin de";1
schwarze Haare;des cheveux noirs;1
schwimmen;nager;0
sechzehn, siebzehn, achtzehn, neunzehn;seize, dix-sept, dix-huit, dix-neuf;0
"sechzig; siebzig";"soixante; soixante-dix";0
segeln;faire de la voile;0
sich anziehen;s'habiller;1
sich beeilen;se dépêcher;1
sich die Haare bürsten;se brosser les cheveux;1
sich die Zähne putzen;se laver les dents;1
sich rasieren;se raser;1
sich schminken;se maquiller;1
singen;chanter;1
Ski fahren;ski;0
Sport treiben;faire du sport;0
tanzen;danser;1
verschlafen;se réveiller en retard;1
Viertel nach;un quart;0
Viertel vor;moins le quart;1
Volleyball spielen;jouer au volley;0
vorlesen;lire à voix haute;1
wandern;faire une randonnée;0
Wie siehst du aus?;À quoi ressembles-tu ?;0
Wie spät ist es?;Quelle heure est-il ?;0
zu;à/pour;1
zur Arbeit gehen;aller travailler;1
"zwanzig, einundzwanzig, zweiundzwanzig;...";vingt, vingt-et-un, vingt-deux...;0
zweihundert, dreihundert, vierhundert...;deux cents, trois cents, quatre cents...;0
Januar; Janvier;0
Februar; Février;1
März; Mars;1
April; Avril;0
Mai; Mai;0
Juni;Juin;1
Juli;Juillet;1
August;Août;0
September;Septembre;0
Oktober;Octobre;0
November;Novembre;0
Dezember;Décembre;0
Die Jahreszeit;La saison;0
der Frühling; Le printemps;0
derSommer; L'été;0
der Herbst; L'automne;1
der Winter; L'hiver;0
nervig; énervant;0
unsympatisch; désagréable;1
arrogant; arrogant;1
blöd; bête;1
lustig; amusant;0
Wie siehst du aus?;A quoi ressembles-tu ?;0
sich schminken;se maquiller;1
sich die Haare bürsten; se brosser les cheveux;1
Liebe Oma - Lieber Opa;Chère Mamie cher papy;1
Mit freundlichen Grüßen; Avec nos salutations distinguées;1
Sehr geehrte Frau Müller; Chère Madame Müller;1
Wie komme ich nach Berlin bitte?; Comment puis-je aller à Berlin s’il vous plaît ?;1
Puis-je avoir le menu ?;Kann ich das Menü sehen?;0
Ein Tisch für zwei Personen;Une table pour 2 personnes;1
J’ai une réservation pour… :;Ich habe eine Buchung auf den Namen;1
Kann ich ein Bier haben bitte?;Puis-je avoir une bière s’il vous plaît ?;1
Erste Straße rechts;Première rue à droite;0
Zweite Straße links;Deuxième rue à gauche;1
Gut gemacht!;Bravo !;1
Es war lecker!;C’était délicieux !;1
Vielen Dank; Merci beaucoup;0
Zuerst;D’abord;1
Dann;Ensuite;1
Endlich;Enfin;1
Ebenfalls / auch;Egalement;1
Aber;Mais;1
Mit;Avec;0
Trotzdem;Malgré tout;1
Wirklich;Vraiment;0
Zum Teil;En partie;0
Nach;Vers / à destination de;1
Viel Glück!; Bonne chance;1
Wann; Quand;0
Warum?; Pourquoi;1
Wer?; Qui;0
Wo sind die Toiletten?; Où sont les toilettes?;1
Ich weiß nicht;Je ne sais pas;1
Ich verstehe nicht;Je ne comprends pas;1
Guten Abend;Bonsoir;0
Wie viel Uhr ist es?;Quelle heure est-il ?;1
Heiß;Chaud;1
Kalt;Froid;1
die E-mail;l'email;1
sollen;être censé;1
Es regnet;Il pleut;0
der Geburtsort;Le lieu de naissance;0
neblig;nuageux;1
der Reisepass;le passeport;1
Wie ist das Wetter;Quel temps fait-il ?;0
die Telefonnummer;Le numéro de téléphone;0
stürmisch;orageux;0
Können Sie das aufschreiben bitte; Pouvez-vous l'écrire svp ?;1
Entschuldigung, noch einmal bitte;Excusez-moi, encore une fois s'il vous plaît;1
Entschuldigung, was bedeutet ...?; Pardon, que signifie... ?;1
das Flugzeug; l'avion;1
der Flug(die Flügen);vol d'avion (vols d'avion);1
die Ferien;les vacances;2
